conversation_id_str,full_text,lang,location,Stemming,Paslon,InSet_Score,Sentistrength_Score,Combined_Score
1734577665074774375,@Afutami biarkan anis memasak,in,,"['biar', 'anis', 'masak']",Anies,3.0,0.0,3.0
1734663359549853942,@AndiSinulingga Semua akan Anis pada waktunya,in,,"['semua', 'anis', 'waktu']",Anies,-3.0,0.0,-3.0
1734722733433573696,prabowo tu sekarang lebih kalem bgt dibanding 5-10 taun lalu emang nadanya tegas aja gitu. kalo anis ma emg public speaking oke bgt. kalo ganjar si dulu gua suka cuma kenapa capres pdip siii??!!,in,Switzerland,"['prabowo', 'tu', 'sekarang', 'lebih', 'kalem', 'bgt', 'banding', 'taun', 'lalu', 'emang', 'nada', 'tegas', 'aja', 'gitu', 'kalo', 'anis', 'ma', 'emg', 'public', 'speaking', 'oke', 'bgt', 'kalo', 'ganjar', 'si', 'dulu', 'gua', 'suka', 'cuma', 'capres', 'pdip', 'siii']",Anies,12.0,2.0,14.0
1734724970566308191,Saol debat.Kalau pun misal skrg yg ikut kontestan adalah jokowi ganjar &amp; anis sudah pasti JKW akan kalah telak dr mrk ber 2 krn jago2 dlm berteori &amp; beretorika menyusun kata hingga org terhipnotis..dulu ahox aja kalh sama anis pdhl kpuasan saat msrkt atskinerja ahox saat itu 75%,in,,"['saol', 'debatkalau', 'misal', 'skrg', 'yg', 'ikut', 'kontestan', 'jokowi', 'ganjar', 'amp', 'anis', 'jkw', 'kalah', 'telak', 'dr', 'mrk', 'ber', 'krn', 'jago', 'dlm', 'teori', 'amp', 'retorika', 'susun', 'kata', 'hingga', 'org', 'terhipnotisdulu', 'ahox', 'aja', 'kalh', 'sama', 'anis', 'pdhl', 'kpuasan', 'msrkt', 'atskinerja', 'ahox']",Anies,1.0,-4.0,-3.0
1734729947405852772,harus diakui untuk urusan debat anis paling jago,in,,"['aku', 'urus', 'debat', 'anis', 'paling', 'jago']",Anies,8.0,0.0,8.0
1734718431520506023,Mau pilih prabowo ganjar atau anis terserah kamu soalnya yg ga lolos tetep manchester united,in,,"['mau', 'pilih', 'prabowo', 'ganjar', 'anis', 'serah', 'kamu', 'soal', 'yg', 'ga', 'lolos', 'tetep', 'manchester', 'united']",Anies,5.0,0.0,5.0
1734671610232139803,Anis nih lama2 bisa dikarungi Sedang yg jadi topik pembicaraan gak tahu malu...eehh memang kacang tdk ninggal lanjaran anak nurun bapaknya.. gak tahu malu https://t.co/vpD9Gt7Fle,in,"Tegernsee, Germany","['anis', 'nih', 'lama', 'karung', 'sedang', 'yg', 'jadi', 'topik', 'bicara', 'gak', 'tahu', 'malueehh', 'memang', 'kacang', 'tdk', 'ninggal', 'lanjar', 'anak', 'nurun', 'bapak', 'gak', 'tahu', 'malu']",Anies,8.0,-2.0,6.0
1734634574922105214,beuhhh anis bikin gua goyang dari pilihan paslon gemoy #DebatCapres https://t.co/xzzwmJLmaf,in,MDNI,"['beuhhh', 'anis', 'bikin', 'gua', 'goyang', 'pilih', 'paslon', 'gemoy']",Anies,-9.0,0.0,-9.0
1734688682903580732,Joooooooseluuuuuu,in,"Groupama Stadium, Lyon",['joooooooseluuuuuu'],Anies,0.0,1.0,1.0
1734687699213406616,Gue kasihan Prabowo belepotan menjawab pertanyaan tentang MK gara2 anak haram MK tsb. Di detik 0:27 Ganjar senyum2 &amp; Anis senyum maen mata. Tuh bapak anak haram MK apa gak punya malu ya jd topik politik seluruh dunia. Kalo anaknya sih agak2 belimbing sayur memang. https://t.co/8L653QJkOb,in,"Tegernsee, Germany","['gue', 'kasihan', 'prabowo', 'belepotan', 'jawab', 'tanya', 'mk', 'gara', 'anak', 'haram', 'mk', 'tsb', 'detik', 'ganjar', 'senyum', 'amp', 'anis', 'senyum', 'maen', 'mata', 'tuh', 'bapak', 'anak', 'haram', 'mk', 'apa', 'gak', 'punya', 'malu', 'jd', 'topik', 'politik', 'seluruh', 'dunia', 'kalo', 'anak', 'sih', 'belimbing', 'sayur', 'memang']",Anies,12.0,-1.0,11.0
1734653212379197523,Misi Pak Anis salah satunya akan meluruskan hukum yang bengkok tajam kebawah tumpul ke atas https://t.co/S7n2B0w0b4,in,"Jawa Tengah, Indonesia","['misi', 'pak', 'anis', 'salah', 'satu', 'lurus', 'hukum', 'bengkok', 'tajam', 'bawah', 'tumpul', 'atas']",Anies,-1.0,-1.0,-2.0
1734663723057574366,Anis creambath rambutnya wangi bgtttt. Kamu ga mau dusel pala akuu,in,Di peti goyang,"['anis', 'creambath', 'rambut', 'wangi', 'bgtttt', 'kamu', 'ga', 'mau', 'dusel', 'pala', 'akuu']",Anies,9.0,1.0,10.0
1734649045040382265,counternya anis ya ahoy,in,,"['counternya', 'anis', 'ahoy']",Anies,0.0,0.0,0.0
